Latitude,Longitude,Radius,Volume,Density,Mass,Velocity,Radiated Energy,Impact Energy
22.0,133.5,0.0472117672184614,0.0004407977618296,12201999.923508564,968,17.6,44000000000.0,0.15
1.2,52.2,0.2108792269091276,0.039281676219606,50434092.65904728,4001,18.3,244000000000.0,0.67
30.4,25.5,4.091686492266655,286.9430171080701,1346720109.3263268,106837,15.6,6853000000000.0,13.0
0.3,156.2,0.1133082413243073,0.006093588259533,18580318.065342583,1474,22.1,120000000000.0,0.36
44.6,147.6,0.2171741292049224,0.0429054909454506,67098394.2074753,5323,16.1,255000000000.0,0.69
8.1,111.9,0.3776941377476912,0.2256884540567797,127553757.46485864,10119,15.4,470000000000.0,1.2
23.3,20.5,0.0598015718100511,0.000895831658782,15819741.636366991,1255,17.4,60000000000.0,0.19
43.0,59.6,0.0849811809932305,0.0025707325469905,26584729.17218963,2109,16.0,86000000000.0,0.27
44.3,164.2,0.5665412066215368,0.7616985324416314,184101455.457482,14605,15.7,740000000000.0,1.8
68.2,24.0,0.1007184367327176,0.004279721795447,20370280.86403909,1616,19.9,105000000000.0,0.32
21.3,49.3,0.0409168649226665,0.000286943017108,3705979.315611072,294,29.7,38000000000.0,0.13
50.0,38.0,0.0566541206621536,0.0007616985324416,11344834.639625732,900,20.0,54000000000.0,0.18
1.3,174.4,1.2275059476799963,7.747461461917892,258561386.80889225,20512,19.5,1810000000000.0,3.9
47.3,172.9,0.191994520021743,0.0296452494156608,42152363.37212049,3344,19.1,220000000000.0,0.61
44.8,2.9,0.4091686492266655,0.2869430171080701,83586220.55039802,6631,19.8,524000000000.0,1.3
68.9,102.0,0.0377694137747691,0.0002256884540567,5206018.56240603,413,24.1,35000000000.0,0.12
49.4,175.0,0.2203215803528198,0.0447981132763167,30883160.963425603,2450,23.9,258000000000.0,0.7
6.0,86.9,0.214026678057025,0.0410669398067021,19172770.540967487,1521,29.9,251000000000.0,0.68
31.0,90.3,0.0786862786974356,0.0020407303788409,9176710.686275035,728,26.2,82000000000.0,0.25
40.5,18.0,0.3147451147897427,0.1306067442458216,18920663.10453136,1501,36.5,400000000000.0,1.0
21.2,129.5,0.0346219626268717,0.0001738375765911,1537855.3622603768,122,42.3,32000000000.0,0.11
